id,issue,page,type,title,author,content,asset_ref
garden-gate:170:p001:image:01,170,1,image,Cover,,"Cover image of a spring front-yard garden with pink and white tulips, yellow daffodils, purple blooms, boxwood edging, and mature trees, introducing the issue's spring garden, bulb, bird, shade garden, vegetable planning, and free-plant topics.",
garden-gate:170:p002:text:01,170,2,text,Colorful Normandy & Monet's Garden,,"Colorful Normandy & Monet’s Garden. August 8 - August 15, 2023. Centuries of garden making, from formal 17th-century planting schemes to 21st-century beds filled with movement and whimsy. Together we’ll explore castles, wander streets of historic towns and soak up the beautiful French countryside. Your tour hosts: Executive Editor Kristin Beane Sullivan; Executive Art Director Eric Flynn; Senior Editor Sherri Ribbey; Senior Photographer & Videographer Jack Coyier.",
garden-gate:170:p002:image:01,170,2,image,Colorful Normandy & Monet's Garden,,"Travel feature image collage showing June Blake’s garden in Ireland, the formal gate and clipped topiary at Jardin Agapanthe in Normandy, and a leafy arch framing the clipped hedges and brick path at Le Jardin Plume, Normandy.",
garden-gate:170:p002:image:02,170,2,image,Colorful Normandy & Monet's Garden,,"Four black-and-white host portraits for the Garden Gate Colorful Normandy & Monet’s Garden tour: Kristin Beane Sullivan, Eric Flynn, Sherri Ribbey, and Jack Coyier.",
garden-gate:170:p003:text:01,170,3,text,From the Editor,Kristin Beane Sullivan,"My father-in-law built this bench and surprised me with it at Christmas when I first started gardening. I could immediately picture it nestled into a beautiful woodland garden under our big silver maple tree. So that spring, I ordered a few little perennials, gratefully accepted some hosta divisions, invested in a yew and a hydrangea at our local garden center, tucked in a couple of six-packs of impatiens for color and got a load of mulch from a local tree company. This garden definitely wasn’t the lush show I dreamed of, but it was a start.",
garden-gate:170:p003:text:02,170,3,text,From the Editor,Kristin Beane Sullivan,"When my husband and I finally settled onto the bench to enjoy our accomplishment, we realized that we’d sited it with a perfect view of the nearby apartment building’s dumpster. Big miss. But I did learn to always think about the view from a bench as well as the view of a bench!",
garden-gate:170:p003:text:03,170,3,text,From the Editor,Kristin Beane Sullivan,"This piece of furniture has moved a lot over the years. It’s been refreshed a couple of times. It’s appeared in photos on these pages. Now we live in a different house and it’s sitting under a different maple tree (this time with a more carefully considered view). I’ll always find room for this classic, mostly because of who made it.",
garden-gate:170:p003:text:04,170,3,text,From the Editor,Kristin Beane Sullivan,"As I dig into this year’s garden, of course I’m hoping for big results. But I’m also cultivating memories. Of the people that have shared plants and advice. Of caring for it with my family. Of the excitement, disappointment and funny stories that happened there. I hope that you find all of this and more in your garden this year.",
garden-gate:170:p003:image:01,170,3,image,From the Editor,Kristin Beane Sullivan,"Editor page photo of a refreshed wooden garden bench with blue pillows, surrounded by colorful container flowers and potted gerbera daisies, with an inset showing the bench being cleaned with water.",
garden-gate:170:p003:image:02,170,3,image,From the Editor,Kristin Beane Sullivan,Portrait of Garden Gate Executive Editor Kristin Beane Sullivan beside her editor letter about a family bench and garden memories.,
garden-gate:170:p004:image:01,170,4,image,Contents,,"Contents-page image of a shade planting at Kaufman Gardens with coral bells and layered foliage around a tree, previewing the Coral Bells feature.",
garden-gate:170:p004:image:02,170,4,image,Contents,,"Contents-page image of a hand placing a soft green cutting into a cell tray, previewing the article on getting free plants by propagation.",
garden-gate:170:p005:image:01,170,5,image,Contents,,"Contents-page image of a spring container combination with clipped boxwood, pansies, lobelia, and white flowers, previewing no-fail spring containers.",
garden-gate:170:p005:image:02,170,5,image,Contents,,"Contents-page image of purple clematis flowers spilling over stone, previewing smart plant swaps.",
garden-gate:170:p005:image:03,170,5,image,Contents,,"Contents-page close-up image of a Dutch iris flower with purple, bronze, and yellow petals, previewing the iris comparison article.",
garden-gate:170:p005:image:04,170,5,image,Contents,,"Contents-page image of the issue's spring front-yard garden with tulips and daffodils under trees, identified as the cover garden photographed by Jack Coyier.",
garden-gate:170:p008:text:01,170,8,text,Garden Gate Online,,Bring on the Butterflies! Match your favorite butterflies with their favorite plants on our list. GardenGateMagazine.com/articles/flowers-plants/,
garden-gate:170:p008:text:02,170,8,text,Garden Gate Online,,Are you ready for spring? GardenGateMagazine.com/articles/how-to. How to Harden Off Plants: Make sure that young plants get off to the best start as you move them into the garden. DIY Cold Frames: Why wait? Start gardening earlier with a cold frame this year. How to Plant Bare-Root Perennials: You’ve saved some money and bought bare-root perennials! Find out what to do next.,
garden-gate:170:p008:text:03,170,8,text,Garden Gate Online,,Upcycled Container Ideas. Thrift some unique pots this year! GardenGateMagazine.com/articles/containers/,
garden-gate:170:p008:image:01,170,8,image,Garden Gate Online,,"Online resources image of a black-and-white butterfly feeding on a pink flower, used to promote matching favorite butterflies with their favorite plants.",
garden-gate:170:p008:image:02,170,8,image,Garden Gate Online,,Online resources image of an upcycled metal container planted with yellow marigolds and foliage beside garden tools and number markers.,
garden-gate:170:p010:text:01,170,10,text,Reader Tips: Cart around your cucumbers,"Joan Western, MA","Because her container-grown cucumber was heavy and hard to move around her balcony, Joan decided to put it on wheels: She grabbed an unused collapsible shopping cart trolley and plopped the cucumber container within. It now lives on her balcony and is easy to care for and move to chase the sun or make room for visitors.",
garden-gate:170:p010:text:02,170,10,text,Reader Tips: DIY work station,"Mary Martin, ID",If you can find a used kitchen sink at the thrift store - or even have an old one of your own - you can craft an outdoor work table with Mary’s guidance.,
garden-gate:170:p010:text:03,170,10,text,Reader Tips: DIY work station,"Mary Martin, ID","To begin, build a three-walled base by stacking cinder blocks in a U-shape. See in the illustration below that the lip of the sink rests on the cinder block base. Mary added a gravel drainage basin below the sink drain: She dug a hole and filled it with gravel to avoid a muddy mess. Another option is to place a bucket under the drain to catch the water so you can reuse it in the garden.",
garden-gate:170:p010:text:04,170,10,text,Reader Tips: DIY work station,"Mary Martin, ID","To wash her pots and tools, she plugs the drain and fills the sink with water. When she’s finished, she lets the water drain into the gravel, where it disperses into the soil.",
garden-gate:170:p010:text:05,170,10,text,Reader Tips: DIY work station,"Mary Martin, ID",You could also hook a length of hose into the faucet opening so you have a running water option.,
garden-gate:170:p010:text:06,170,10,text,Reader Tips: Bulb markers,"Lou Emmons, IL","After your spring bulbs fade and the foliage disappears, it’s easy to lose track of where the bulbs are planted. To avoid digging up hidden clumps of bulbs as she plants throughout the growing season, Lou uses a few plastic landscape fabric pegs to mark the place of the bulbs in the garden bed. Because they are green, they blend in, and they’re long and sturdy enough to stay in place for years. She pushes them nearly all the way into the soil; the flat, rounded top can still be spotted but won’t be noticeable from afar.",
garden-gate:170:p010:image:01,170,10,image,Reader Tips: DIY work station,"Mary Martin, ID","Illustration of a DIY outdoor pot-washing work station made from a used double-basin kitchen sink resting on stacked cinder blocks, with a gravel drainage basin and bucket below.",
garden-gate:170:p010:image:02,170,10,image,Reader Tips: Bulb markers,"Lou Emmons, IL","Photo of green plastic landscape fabric pegs used as discreet bulb markers, with a note to leave the top inch of each peg visible above the soil.",
garden-gate:170:p011:text:01,170,11,text,Reader Tips: Pistachio shell drainage,"Orlando Maione, NY","Reader Tips: Keep leftover nut shells, like pistachios, and reuse them for your containers. Fill the bottom couple of inches with the shells before topping with fresh potting mix. The shells prevent the mix from slipping through the drainage holes and causing a mess.",
garden-gate:170:p011:text:02,170,11,text,Reader Tips: Take a soak,"Gail Wintersteiner, MA","Don’t give up on plants that have dried out in the nursery pot before you can plant. Gail has a trick to rehydrate them: She submerges the plant, nursery pot and all, into a larger pot or bin full of water up to or even above the crown. While the plant is submerged, you will see bubbles. This means that water is soaking into the pockets of the root ball and not just running past the roots.",
garden-gate:170:p011:text:03,170,11,text,Reader Tips: Take a soak,"Gail Wintersteiner, MA","When the bubbles stop, the soil is hydrated and the plant will have better access to the moisture it needs to recuperate before being planted into its permanent home.",
garden-gate:170:p011:text:04,170,11,text,The Wild Side: Meadow fritillary,,(Boloria bellona). Appearance: This butterfly’s bright orange wings are 1 1/2 to 2 inches wide and have irregular black markings similar to leopard spots. Three rows of dots line the outer edge of the wing. The underside of the hindwing is more mottled brown and purple-gray. Caterpillars are dark purple-gray with rows of bristled spines.,
garden-gate:170:p011:text:05,170,11,text,The Wild Side: Meadow fritillary,,"(Boloria bellona). Life cycle: Female meadow fritillaries lay single pale-yellow eggs on twigs and leaves near their host plants - violets, particularly the sweet violet (Viola sororia). The caterpillar emerges and feeds on violet flowers and leaves before forming a spiny brown chrysalis. Typically two generations occur in a year, one in late spring and the other in early fall. Caterpillars overwinter in debris before pupating and emerging in spring. These nonmigratory butterflies generally stay in the same area all year.",
garden-gate:170:p011:text:06,170,11,text,The Wild Side: Meadow fritillary,,"(Boloria bellona). Habitat: You’ll find meadow fritillary throughout southern Canada, across Midwestern and mid-Atlantic states and in New England. Within this range, it prefers sunny meadows on the edge of forests and near wetlands or a water source. If you want to attract it to your garden, you’ll need to have a collection of violets nearby for the caterpillars to munch on.",
garden-gate:170:p011:image:01,170,11,image,Reader Tips: Pistachio shell drainage,"Orlando Maione, NY",Photo of pistachio shells being poured from a small pot into a larger container for use as drainage material under fresh potting mix.,
garden-gate:170:p011:image:02,170,11,image,The Wild Side: Meadow fritillary,,Wildlife profile photo of a meadow fritillary butterfly with orange wings and black markings resting on pale soil.,
garden-gate:170:p012:text:01,170,12,text,Get a Head Start with Spring Containers,Marisa Reyes,"As winter comes to an end and spring starts to gift us with the warmth of the sun, garden centers and nurseries begin to put out the first flowers of the year. This early enthusiasm inevitably results in a cart filled with plants that you can’t resist, even if you don’t really have room for them. No matter, containers are always an option!",
garden-gate:170:p012:text:02,170,12,text,Get a Head Start with Spring Containers: Place Your Containers,Marisa Reyes,"Get a Head Start with Spring Containers - Place Your Containers. Plant up a few spring containers and a bare patio or terrace is suddenly filled with color. Your balcony becomes a bright spot in the apartment complex and neighbors are asking where those plants came from. Grouping containers together provides an even bigger show that draws attention to the entry, or you can use bright blooms to dress up a tabletop on the deck. Spring containers are just the beginning of all the ways you can express yourself this growing season.",
garden-gate:170:p012:text:03,170,12,text,Get a Head Start with Spring Containers: Place Your Containers,Marisa Reyes,"Get a Head Start with Spring Containers - Place Your Containers. Once they fade, you can get creative again by swapping plants out for a whole new look in summer and fall.",
